"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"LOC138516838","OK",5.75149666737324e-23,9.79783025829771,0.0283002831266264,"LOC138516838",2.68522720479857e-22
"KNSTRN","OK",5.95382768250608e-23,9.79433655188203,0.0561303752870936,"KNSTRN",2.77896840141907e-22
"COQ7","OK",6.34899683510947e-23,9.78783961138312,0.056270777768353,"COQ7",2.96264536813599e-22
"VCF1","OK",6.36190349309904e-23,9.78763422832448,0.0562813315232005,"VCF1",2.96789734607969e-22
"FBXL20","OK",6.57552828071261e-23,9.78429345396831,0.0562517554189955,"FBXL20",3.06675949141982e-22
"MRPS28","OK",6.75697454306678e-23,9.7815392263293,0.0562676096144726,"MRPS28",3.1505664903713e-22
"CCNC","OK",6.81518481038765e-23,9.78067112825339,0.0562309317489508,"CCNC",3.17688381433635e-22
"LOC138487603","OK",6.84169850930774e-23,9.78027815572177,0.0382747572532661,"LOC138487603",3.18841603247562e-22
"LMX1A","OK",6.92019008468662e-23,9.77912356962936,0.0550002635103628,"LMX1A",3.22415908275392e-22
"LOC138473622","OK",6.92261728784039e-23,9.77908807321702,0.039182368928377,"LOC138473622",3.22445393111695e-22
"C1PH8orf90","OK",6.95484450061082e-23,9.77861793344163,0.0395519064607923,"C1PH8orf90",3.23778641647607e-22
"HHIPL2","OK",6.95475981068063e-23,9.77861916609428,0.0552288295700638,"HHIPL2",3.23778641647607e-22
"PACS2","OK",7.15837102727965e-23,9.77569773437496,0.056214033886369,"PACS2",3.33167385030343e-22
"RABAC1","OK",7.16032739028255e-23,9.77567006512566,0.0562284874827855,"RABAC1",3.331721470828e-22
"ERC1","OK",7.26504474933304e-23,9.77419984159322,0.0562558923123303,"ERC1",3.3795716838083e-22
"BICRAL","OK",7.51041199704961e-23,9.7708354622143,0.0561905916933284,"BICRAL",3.49280806384528e-22
"DHX38","OK",7.76561092401027e-23,9.76744978670597,0.0562041923626101,"DHX38",3.61055700658382e-22
"DNER","OK",7.8681752679451e-23,9.7661200134687,0.0560473670248497,"DNER",3.65729719516227e-22
"NPC1","OK",8.21311036400511e-23,9.76177044547929,0.0561421358025792,"NPC1",3.81664321802875e-22
"COX7A1","OK",8.37827333992125e-23,9.75975139973689,0.056026708235784,"COX7A1",3.89238810543911e-22
"DDX17","OK",8.45797762451413e-23,9.75879110133998,0.0561694655839481,"DDX17",3.92840160022018e-22
"LDLRAD4","OK",8.62660799975217e-23,9.75678858183627,0.0561465463060508,"LDLRAD4",4.00568852081515e-22
